FID	IID	Active	Reinfs	ActivesD1	ReinfsD1	ActivesD2	ReinfsD2	ActivesD3	ReinfsD3	ActiveLG	ReinfsLG	ActivesD1LG	ReinfsD1LG	ActivesD2LG	ReinfsD2LG																																																																																																													
SM.J	125	5686	1321	1284	322	2194	499	2208	500	3.754883228	3.121231455	3.108903128	2.509202522	3.341434525	2.698970004																																																																																																													
NZW.LacJ	126	3962	992	1216	310	1217	310	1529	372	3.598024072	2.996949248	3.085290578	2.492760389	3.085647288	2.492760389																																																																																																													
NZW.LacJ	127	1004	403	176	103	338	135	490	165	3.002166062	2.606381365	2.247973266	2.017033339	2.530199698	2.133538908																																																																																																													
129S1.SvImJ	128	4	4	4	4	0	0	0	0	0.698970004	0.698970004	0.698970004	0.698970004	0	0																																																																																																													
129S1.SvImJ	129	3	3	2	2	1	1	0	0	0.602059991	0.602059991	0.477121255	0.477121255	0.301029996	0.301029996																																																																																																													
LP.J	130	184	109	9	8	0	0	175	101	2.267171728	2.041392685	1	0.954242509	0	0																																																																																																													
LP.J	131	6	5	3	3	1	1	2	1	0.84509804	0.77815125	0.602059991	0.602059991	0.301029996	0.301029996																																																																																																													
C57BLKS.J	134	5173	1216	1585	382	1360	334	2228	500	3.713826424	3.085290578	3.200303183	2.583198774	3.133858125	2.525044807																																																																																																													
C57BLKS.J	135	2171	638	592	185	860	241	719	212	3.336859821	2.805500858	2.773054693	2.269512944	2.935003151	2.383815366																																																																																																													
BXD31.TyJ	142	3	3	1	1	2	2	0	0	0.602059991	0.602059991	0.301029996	0.301029996	0.477121255	0.477121255																																																																																																													
BXD31.TyJ	143	6583	1443	1970	443	2304	500	2309	500	3.818489822	3.159567193	3.294686624	2.64738297	3.36267093	2.699837726																																																																																																													
NON.ShiLtJ	144	6481	1500	2158	500	2163	500	2160	500	3.811709027	3.176380692	3.334252642	2.699837726	3.335257256	2.699837726																																																																																																													
NON.ShiLtJ	145	6167	1425	1804	425	2187	500	2176	500	3.790144365	3.154119526	3.256477206	2.629409599	3.340047318	2.699837726																																																																																																													
RIIIS.J	146	3372	872	831	231	1169	300	1372	341	3.528016341	2.941014244	2.920123326	2.365487985	3.068185862	2.478566496																																																																																																													
RIIIS.J	147	1642	531	368	141	391	147	883	243	3.215637563	2.725911632	2.567026366	2.152288344	2.593286067	2.170261715																																																																																																													
SEA.GnJ	148	2883	777	502	166	807	230	1574	381	3.459995256	2.890979597	2.701567985	2.222716471	2.907411361	2.36361198																																																																																																													
SEA.GnJ	149	3503	816	64	53	1243	298	2196	465	3.544564097	2.912222057	1.812913357	1.73239376	3.09482038	2.475671188																																																																																																													
